GAME_DATE_EST;GAME_ID;GAME_STATUS_TEXT;HOME_TEAM_ID;VISITOR_TEAM_ID;SEASON;TEAM_ID_home;PTS_home;FG_PCT_home;FT_PCT_home;FG3_PCT_home;AST_home;REB_home;TEAM_ID_away;PTS_away;FG_PCT_away;FT_PCT_away;FG3_PCT_away;AST_away;REB_away;HOME_TEAM_WINS
01/03/2020;21900895;Final;1610612766;1610612749;2019;1610612766;85;354;9;229;22;47;1610612749;93;402;762;226;20;61;0
01/03/2020;21900896;Final;1610612750;1610612742;2019;1610612750;91;364;4;31;19;57;1610612742;111;468;632;275;28;56;0
01/03/2020;21900897;Final;1610612746;1610612755;2019;1610612746;136;592;805;542;25;37;1610612755;130;505;65;488;27;37;1
01/03/2020;21900898;Final;1610612743;1610612761;2019;1610612743;133;566;7;5;38;41;1610612761;118;461;897;263;24;36;1
01/03/2020;21900899;Final;1610612758;1610612765;2019;1610612758;106;407;885;257;18;51;1610612765;100;413;667;429;23;42;1
01/03/2020;21900900;Final;1610612740;1610612747;2019;1610612740;114;421;818;219;24;52;1610612747;122;515;9;371;23;36;0
01/03/2020;21900901;Final;1610612744;1610612764;2019;1610612744;110;472;708;321;25;52;1610612764;124;488;889;667;24;34;0
29/02/2020;21900887;Final;1610612752;1610612741;2019;1610612752;125;553;697;4;29;50;1610612741;115;461;696;486;26;33;1
29/02/2020;21900888;Final;1610612737;1610612757;2019;1610612737;129;548;864;429;34;36;1610612757;117;5;714;286;14;42;1
29/02/2020;21900889;Final;1610612748;1610612751;2019;1610612748;116;451;833;368;27;45;1610612751;113;465;739;364;30;44;1
29/02/2020;21900890;Final;1610612739;1610612754;2019;1610612739;104;482;85;227;30;36;1610612754;113;54;786;348;30;38;0
29/02/2020;21900891;Final;1610612763;1610612747;2019;1610612763;105;453;818;323;27;51;1610612747;88;409;583;25;26;45;1
29/02/2020;21900892;Final;1610612738;1610612745;2019;1610612738;110;39;76;31;22;54;1610612745;111;418;778;273;17;53;0
29/02/2020;21900893;Final;1610612759;1610612753;2019;1610612759;114;524;75;452;28;31;1610612753;113;488;696;405;28;41;1
29/02/2020;21900894;Final;1610612756;1610612744;2019;1610612756;99;41;826;414;24;40;1610612744;115;471;75;3;30;49;0
28/02/2020;21900877;Final;1610612753;1610612750;2019;1610612753;136;541;818;3;36;54;1610612750;125;484;667;386;27;33;1
28/02/2020;21900878;Final;1610612737;1610612751;2019;1610612737;141;515;733;487;32;52;1610612751;118;457;762;391;30;38;1
28/02/2020;21900879;Final;1610612761;1610612766;2019;1610612761;96;347;69;233;19;45;1610612766;99;436;72;433;23;58;0
28/02/2020;21900880;Final;1610612748;1610612742;2019;1610612748;126;519;75;486;30;40;1610612742;118;476;895;42;25;35;1
28/02/2020;21900881;Final;1610612763;1610612758;2019;1610612763;101;429;75;267;27;52;1610612758;104;418;81;289;24;47;0
28/02/2020;21900882;Final;1610612749;1610612760;2019;1610612749;133;5;857;467;34;66;1610612760;86;363;7;171;14;36;1
28/02/2020;21900883;Final;1610612740;1610612739;2019;1610612740;116;545;733;391;36;49;1610612739;104;453;583;355;27;34;1
28/02/2020;21900884;Final;1610612756;1610612765;2019;1610612756;111;6;706;391;31;38;1610612765;113;489;75;406;27;31;0
28/02/2020;21900885;Final;1610612762;1610612764;2019;1610612762;129;494;733;514;23;54;1610612764;119;459;714;378;23;41;1
28/02/2020;21900886;Final;1610612746;1610612743;2019;1610612746;132;539;9;462;35;46;1610612743;103;451;75;36;19;39;1
27/02/2020;21900873;Final;1610612755;1610612752;2019;1610612755;115;495;769;484;32;44;1610612752;106;506;583;348;28;39;1
