GAME_ID;TEAM_ID;TEAM_ABBREVIATION;TEAM_CITY;PLAYER_ID;PLAYER_NAME;FGM;FG_PCT;FG3M;FG3_PCT;FTM;FT_PCT;OREB;REB;AST;BLK;PF;PTS;games.SEASON
21900856;1610612763;MEM;Memphis;203476;Gorgui Dieng;5;0,5;2;0,5;2;1;3;10;0;4;2;14;2019
21900843;1610612761;TOR;Toronto;1628449;Chris Boucher;2;0,5;1;0,5;4;1;1;11;2;4;2;9;2019
21900826;1610612742;DAL;Dallas;204001;Kristaps Porzingis;8;0,5;4;0,444;4;1;2;10;5;5;3;24;2019
21900830;1610612750;MIN;Minnesota;201949;James Johnson;2;0,222;1;0,25;4;1;1;6;1;4;5;9;2019
21900825;1610612745;HOU;Houston;203496;Robert Covington;7;0,538;5;0,5;1;1;1;5;1;4;1;20;2019
21900815;1610612744;GSW;Golden State;203952;Andrew Wiggins;9;0,643;3;0,75;6;1;0;4;5;4;0;27;2019
21900787;1610612737;ATL;Atlanta;203473;Dewayne Dedmon;4;0,333;1;0,2;1;1;0;8;0;5;6;10;2019
21900739;1610612749;MIL;Milwaukee;201572;Brook Lopez;7;0,438;1;0,167;2;1;2;4;1;8;4;17;2019
21900733;1610612742;DAL;Dallas;1628467;Maxi Kleber;6;0,667;4;0,571;2;1;2;6;1;4;3;18;2019
21900723;1610612763;MEM;Memphis;202685;Jonas Valanciunas;8;0,615;1;0,333;1;1;4;8;0;4;6;18;2019
21900627;1610612749;MIL;Milwaukee;201572;Brook Lopez;5;0,417;1;0,167;1;1;1;6;4;5;1;12;2019
21900615;1610612749;MIL;Milwaukee;201572;Brook Lopez;6;0,6;3;0,6;1;1;0;3;1;4;2;16;2019
21900558;1610612737;ATL;Atlanta;1628381;John Collins;7;0,467;1;0,333;2;1;5;14;0;4;2;17;2019
21900536;1610612750;MIN;Minnesota;203476;Gorgui Dieng;8;0,8;4;0,8;2;1;4;13;6;4;0;22;2019
21900482;1610612742;DAL;Dallas;204001;Kristaps Porzingis;6;0,5;4;0,444;2;1;0;7;3;4;3;18;2019
21900370;1610612757;POR;Portland;202355;Hassan Whiteside;15;0,714;1;1;2;1;3;11;2;4;5;33;2019
21900363;1610612756;PHX;Phoenix;1626162;Kelly Oubre Jr.;5;0,385;1;0,25;3;1;2;13;0;4;3;14;2019
21900302;1610612742;DAL;Dallas;204001;Kristaps Porzingis;2;0,182;1;0,333;2;1;2;6;1;5;4;7;2019
21900274;1610612763;MEM;Memphis;1628991;Jaren Jackson Jr.;3;0,231;1;0,143;2;1;0;3;4;4;3;9;2019
21900363;1610612756;PHX;Phoenix;1626162;Kelly Oubre Jr.;5;0,385;1;0,25;3;1;2;13;0;4;3;14;2019
